# Extracted from scen_sensibilite_retardnucleaire_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# TIMES STORAGEMININD VAR_FOut of CO2STOCK, kt/a.
year,kt
2035,4174.684888
2040,5147.953011
2045,5236.260407
2050,4879.677226
