# Extracted from scen_central_v01_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# TIMES STORAGEMININD VAR_FOut of CO2STOCK, kt/a.
year,kt
2035,4174.684888
2040,5103.207071
2045,5166.597421
2050,4851.739119
