# Extracted from scen_central_v01_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# Rooftop share of TIMES PV plant capacity (VAR_Cap).
year,share,rooftop_gw,utility_gw
2030,0.651264,4.289904,2.297142
2035,0.654986,7.046240,3.711612
2040,0.690491,10.470106,4.693181
2045,0.700266,10.964639,4.693181
2050,0.705985,11.269192,4.693181
