# Extracted from scen_sensibilite_realiste_nobnd30_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# TIMES STORAGEMININD VAR_FOut of CO2STOCK, kt/a.
year,kt
2035,4292.972426
2040,5103.207071
2045,5166.597421
2050,5113.550623
