planning_horizon,technology,parameter,value,unit,source,further_description
all,Ni-Zn-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,OCGT,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,PEM electrolyzer small size,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,PHS,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Pumped-Heat-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Pumped-Heat-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Pumped-Heat-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Pumped-Storage-Hydro-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Pumped-Storage-Hydro-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,SMR,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,SMR CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,SOEC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Sand-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Sand-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Sand-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Steam methane reforming,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,"Tank&bulk, diesel",discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,"Tank&bulk, methanol",discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,"Tankbulk, ammonia",discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Vanadium-Redox-Flow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Vanadium-Redox-Flow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Air-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Air-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Br-Flow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Br-Flow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Br-Nonflow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,Zn-Br-Nonflow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,air separation unit,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,allam,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,ammonia carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,battery inverter,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,battery storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biochar pyrolysis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biodiesel crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,bioethanol crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biogas,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biogas CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biogas manure,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biogas plus hydrogen,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biogas upgrading,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass CHP capture,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass EOP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass HOP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,biomass boiler,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,biomass-to-methanol,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,blast furnace-basic oxygen furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement capture,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement dry clinker,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement finishing,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,central air-sourced heat pump,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central coal CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central excess-heat-sourced heat pump,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central gas CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central gas CHP CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central gas boiler,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central geothermal heat source,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central ground-sourced heat pump,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central hydrogen CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central resistive heater,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central solar thermal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central solid biomass CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central solid biomass CHP CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central solid biomass CHP powerboost CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water pit charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water pit discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water pit storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water tank charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water tank discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,central water tank storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,clean water tank storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,coal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,csp-tower,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,csp-tower TES,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,csp-tower power block,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,decentral CHP,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral air-sourced heat pump,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral gas boiler,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral gas boiler connection,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral ground-sourced heat pump,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral oil boiler,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral resistive heater,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral solar thermal,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank charger,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank discharger,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank storage,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,digestible biomass,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,digestible biomass to hydrogen,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,direct air capture,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,direct firing gas,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing gas CC,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing solid fuels,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing solid fuels CC,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,dry bulk carrier Capesize,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,electric arc furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric arc furnace with hbi and scrap,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric boiler steam,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric steam cracker,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electricity distribution grid,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,electricity grid connection,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,electrobiofuels,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,electrolysis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,electrolysis small,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,ethanol carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,ethanol from starch crop,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,ethanol from sugar crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,fuel cell,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,fuelwood,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,gas,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,gas boiler steam,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,gas storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,gas storage charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,gas storage discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,geothermal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,grey methanol synthesis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,helmeth,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,home battery inverter,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,home battery storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,hydro,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,hydrogen direct iron reduction furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,hydrogen storage compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,hydrogen storage tank type 1,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,hydrogen storage tank type 1 including compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,hydrogen storage underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,industrial heat pump high temperature,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,industrial heat pump medium temperature,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,iron ore DRI-ready,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,iron-air battery,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,iron-air battery charge,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,iron-air battery discharge,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,lignite,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methanation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methane storage tank incl. compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methanol,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methanol-to-kerosene,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methanol-to-olefins/aromatics,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,methanolisation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,micro CHP,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,natural gas direct iron reduction furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,nuclear,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,nuclear retrofit,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-ac-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-ac-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-ac-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-dc-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-dc-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-dc-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-float,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-float-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-float-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,offwind-float-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,oil,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,onwind,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,organic rankine cycle,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
all,ror,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: production
