# Extracted from scen_sensibilite_realiste_nets_v01_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# TIMES STORAGEMININD VAR_FOut of CO2STOCK, kt/a.
year,kt
2035,4174.684888
2040,5099.316944
2045,5162.707294
2050,4863.049049
