planning_horizon,technology,parameter,value,unit,source,further_description
all,oil,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,onwind,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,organic rankine cycle,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,ror,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,seawater RO desalination,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,seawater desalination,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,shipping fuel methanol,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,solar-hsat,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: pv
all,solar-rooftop,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: pv
all,solar-rooftop commercial,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: pv
all,solar-rooftop residential,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: pv
all,solar-utility,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: pv
all,solid biomass,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,solid biomass boiler steam,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,solid biomass boiler steam CC,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,solid biomass to hydrogen,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,steel carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,uranium,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,waste CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,waste CHP CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,water tank charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,water tank discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
