mode,location,variant,hour,value
V1H_V2H,work,with_pv,3,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,4,0.056
V1H_V2H,home,capacity_tariff:sunny:without_pv,4,0.071
V1H_V2H,home,capacity_tariff:cloudy:with_pv,4,0.056
V1H_V2H,home,capacity_tariff:cloudy:without_pv,4,0.071
V1H_V2H,home,time_of_use:sunny:with_pv,4,0.056
V1H_V2H,home,time_of_use:sunny:without_pv,4,0.071
V1H_V2H,home,time_of_use:cloudy:with_pv,4,0.056
V1H_V2H,home,time_of_use:cloudy:without_pv,4,0.071
V1H_V2H,work,with_pv,4,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,5,0.052
V1H_V2H,home,capacity_tariff:sunny:without_pv,5,0.065
V1H_V2H,home,capacity_tariff:cloudy:with_pv,5,0.052
V1H_V2H,home,capacity_tariff:cloudy:without_pv,5,0.065
V1H_V2H,home,time_of_use:sunny:with_pv,5,0.052
V1H_V2H,home,time_of_use:sunny:without_pv,5,0.065
V1H_V2H,home,time_of_use:cloudy:with_pv,5,0.052
V1H_V2H,home,time_of_use:cloudy:without_pv,5,0.065
V1H_V2H,work,with_pv,5,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,6,0.044
V1H_V2H,home,capacity_tariff:sunny:without_pv,6,0.055
V1H_V2H,home,capacity_tariff:cloudy:with_pv,6,0.044
V1H_V2H,home,capacity_tariff:cloudy:without_pv,6,0.055
V1H_V2H,home,time_of_use:sunny:with_pv,6,0.044
V1H_V2H,home,time_of_use:sunny:without_pv,6,0.055
V1H_V2H,home,time_of_use:cloudy:with_pv,6,0.044
V1H_V2H,home,time_of_use:cloudy:without_pv,6,0.055
V1H_V2H,work,with_pv,6,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,7,0.035
V1H_V2H,home,capacity_tariff:sunny:without_pv,7,0.044
V1H_V2H,home,capacity_tariff:cloudy:with_pv,7,0.035
V1H_V2H,home,capacity_tariff:cloudy:without_pv,7,0.044
V1H_V2H,home,time_of_use:sunny:with_pv,7,0.035
V1H_V2H,home,time_of_use:sunny:without_pv,7,0.044
V1H_V2H,home,time_of_use:cloudy:with_pv,7,0.035
V1H_V2H,home,time_of_use:cloudy:without_pv,7,0.044
V1H_V2H,work,with_pv,7,0.01
V1H_V2H,home,capacity_tariff:sunny:with_pv,8,0.03
V1H_V2H,home,capacity_tariff:sunny:without_pv,8,0.035
V1H_V2H,home,capacity_tariff:cloudy:with_pv,8,0.03
V1H_V2H,home,capacity_tariff:cloudy:without_pv,8,0.035
V1H_V2H,home,time_of_use:sunny:with_pv,8,0.03
V1H_V2H,home,time_of_use:sunny:without_pv,8,0.035
V1H_V2H,home,time_of_use:cloudy:with_pv,8,0.03
V1H_V2H,home,time_of_use:cloudy:without_pv,8,0.035
V1H_V2H,work,with_pv,8,0.0529
V1H_V2H,home,capacity_tariff:sunny:with_pv,9,0.034
V1H_V2H,home,capacity_tariff:sunny:without_pv,9,0.031
V1H_V2H,home,capacity_tariff:cloudy:with_pv,9,0.034
V1H_V2H,home,capacity_tariff:cloudy:without_pv,9,0.031
V1H_V2H,home,time_of_use:sunny:with_pv,9,0.034
V1H_V2H,home,time_of_use:sunny:without_pv,9,0.031
V1H_V2H,home,time_of_use:cloudy:with_pv,9,0.034
V1H_V2H,home,time_of_use:cloudy:without_pv,9,0.031
V1H_V2H,work,with_pv,9,0.0866
V1H_V2H,home,capacity_tariff:sunny:with_pv,10,0.043
V1H_V2H,home,capacity_tariff:sunny:without_pv,10,0.028
V1H_V2H,home,capacity_tariff:cloudy:with_pv,10,0.043
V1H_V2H,home,capacity_tariff:cloudy:without_pv,10,0.028
V1H_V2H,home,time_of_use:sunny:with_pv,10,0.043
V1H_V2H,home,time_of_use:sunny:without_pv,10,0.028
V1H_V2H,home,time_of_use:cloudy:with_pv,10,0.043
V1H_V2H,home,time_of_use:cloudy:without_pv,10,0.028
V1H_V2H,work,with_pv,10,0.101
V1H_V2H,home,capacity_tariff:sunny:with_pv,11,0.053
V1H_V2H,home,capacity_tariff:sunny:without_pv,11,0.025
V1H_V2H,home,capacity_tariff:cloudy:with_pv,11,0.053
V1H_V2H,home,capacity_tariff:cloudy:without_pv,11,0.025
V1H_V2H,home,time_of_use:sunny:with_pv,11,0.053
V1H_V2H,home,time_of_use:sunny:without_pv,11,0.025
V1H_V2H,home,time_of_use:cloudy:with_pv,11,0.053
V1H_V2H,home,time_of_use:cloudy:without_pv,11,0.025
V1H_V2H,work,with_pv,11,0.1061
V1H_V2H,home,capacity_tariff:sunny:with_pv,12,0.059
V1H_V2H,home,capacity_tariff:sunny:without_pv,12,0.024
V1H_V2H,home,capacity_tariff:cloudy:with_pv,12,0.059
V1H_V2H,home,capacity_tariff:cloudy:without_pv,12,0.024
V1H_V2H,home,time_of_use:sunny:with_pv,12,0.059
V1H_V2H,home,time_of_use:sunny:without_pv,12,0.024
V1H_V2H,home,time_of_use:cloudy:with_pv,12,0.059
V1H_V2H,home,time_of_use:cloudy:without_pv,12,0.024
V1H_V2H,work,with_pv,12,0.1053
V1H_V2H,home,capacity_tariff:sunny:with_pv,13,0.06
V1H_V2H,home,capacity_tariff:sunny:without_pv,13,0.024
V1H_V2H,home,capacity_tariff:cloudy:with_pv,13,0.06
V1H_V2H,home,capacity_tariff:cloudy:without_pv,13,0.024
V1H_V2H,home,time_of_use:sunny:with_pv,13,0.06
V1H_V2H,home,time_of_use:sunny:without_pv,13,0.024
V1H_V2H,home,time_of_use:cloudy:with_pv,13,0.06
V1H_V2H,home,time_of_use:cloudy:without_pv,13,0.024
V1H_V2H,work,with_pv,13,0.1048
V1H_V2H,home,capacity_tariff:sunny:with_pv,14,0.052
V1H_V2H,home,capacity_tariff:sunny:without_pv,14,0.026
V1H_V2H,home,capacity_tariff:cloudy:with_pv,14,0.052
V1H_V2H,home,capacity_tariff:cloudy:without_pv,14,0.026
V1H_V2H,home,time_of_use:sunny:with_pv,14,0.052
V1H_V2H,home,time_of_use:sunny:without_pv,14,0.026
V1H_V2H,home,time_of_use:cloudy:with_pv,14,0.052
V1H_V2H,home,time_of_use:cloudy:without_pv,14,0.026
V1H_V2H,work,with_pv,14,0.1037
V1H_V2H,home,capacity_tariff:sunny:with_pv,15,0.041
V1H_V2H,home,capacity_tariff:sunny:without_pv,15,0.029
V1H_V2H,home,capacity_tariff:cloudy:with_pv,15,0.041
V1H_V2H,home,capacity_tariff:cloudy:without_pv,15,0.029
V1H_V2H,home,time_of_use:sunny:with_pv,15,0.041
V1H_V2H,home,time_of_use:sunny:without_pv,15,0.029
V1H_V2H,home,time_of_use:cloudy:with_pv,15,0.041
V1H_V2H,home,time_of_use:cloudy:without_pv,15,0.029
V1H_V2H,work,with_pv,15,0.0937
V1H_V2H,home,capacity_tariff:sunny:with_pv,16,0.031
V1H_V2H,home,capacity_tariff:sunny:without_pv,16,0.03
V1H_V2H,home,capacity_tariff:cloudy:with_pv,16,0.031
V1H_V2H,home,capacity_tariff:cloudy:without_pv,16,0.03
V1H_V2H,home,time_of_use:sunny:with_pv,16,0.031
V1H_V2H,home,time_of_use:sunny:without_pv,16,0.03
V1H_V2H,home,time_of_use:cloudy:with_pv,16,0.031
V1H_V2H,home,time_of_use:cloudy:without_pv,16,0.03
V1H_V2H,work,with_pv,16,0.0806
V1H_V2H,home,capacity_tariff:sunny:with_pv,17,0.025
V1H_V2H,home,capacity_tariff:sunny:without_pv,17,0.03
V1H_V2H,home,capacity_tariff:cloudy:with_pv,17,0.025
V1H_V2H,home,capacity_tariff:cloudy:without_pv,17,0.03
V1H_V2H,home,time_of_use:sunny:with_pv,17,0.025
V1H_V2H,home,time_of_use:sunny:without_pv,17,0.03
V1H_V2H,home,time_of_use:cloudy:with_pv,17,0.025
V1H_V2H,home,time_of_use:cloudy:without_pv,17,0.03
V1H_V2H,work,with_pv,17,0.0625
V1H_V2H,home,capacity_tariff:sunny:with_pv,18,0.024
V1H_V2H,home,capacity_tariff:sunny:without_pv,18,0.03
V1H_V2H,home,capacity_tariff:cloudy:with_pv,18,0.024
V1H_V2H,home,capacity_tariff:cloudy:without_pv,18,0.03
V1H_V2H,home,time_of_use:sunny:with_pv,18,0.024
V1H_V2H,home,time_of_use:sunny:without_pv,18,0.03
V1H_V2H,home,time_of_use:cloudy:with_pv,18,0.024
V1H_V2H,home,time_of_use:cloudy:without_pv,18,0.03
V1H_V2H,work,with_pv,18,0.0209
V1H_V2H,home,capacity_tariff:sunny:with_pv,19,0.026
V1H_V2H,home,capacity_tariff:sunny:without_pv,19,0.032
V1H_V2H,home,capacity_tariff:cloudy:with_pv,19,0.026
V1H_V2H,home,capacity_tariff:cloudy:without_pv,19,0.032
V1H_V2H,home,time_of_use:sunny:with_pv,19,0.026
V1H_V2H,home,time_of_use:sunny:without_pv,19,0.032
V1H_V2H,home,time_of_use:cloudy:with_pv,19,0.026
V1H_V2H,home,time_of_use:cloudy:without_pv,19,0.032
V1H_V2H,work,with_pv,19,0.0207
V1H_V2H,home,capacity_tariff:sunny:with_pv,20,0.029
V1H_V2H,home,capacity_tariff:sunny:without_pv,20,0.036
V1H_V2H,home,capacity_tariff:cloudy:with_pv,20,0.029
V1H_V2H,home,capacity_tariff:cloudy:without_pv,20,0.036
V1H_V2H,home,time_of_use:sunny:with_pv,20,0.029
V1H_V2H,home,time_of_use:sunny:without_pv,20,0.036
V1H_V2H,home,time_of_use:cloudy:with_pv,20,0.029
V1H_V2H,home,time_of_use:cloudy:without_pv,20,0.036
V1H_V2H,work,with_pv,20,0.0103
V1H_V2H,home,capacity_tariff:sunny:with_pv,21,0.032
V1H_V2H,home,capacity_tariff:sunny:without_pv,21,0.04
V1H_V2H,home,capacity_tariff:cloudy:with_pv,21,0.032
V1H_V2H,home,capacity_tariff:cloudy:without_pv,21,0.04
V1H_V2H,home,time_of_use:sunny:with_pv,21,0.032
V1H_V2H,home,time_of_use:sunny:without_pv,21,0.04
V1H_V2H,home,time_of_use:cloudy:with_pv,21,0.032
V1H_V2H,home,time_of_use:cloudy:without_pv,21,0.04
V1H_V2H,work,with_pv,21,0.0103
V1H_V2H,home,capacity_tariff:sunny:with_pv,22,0.034
V1H_V2H,home,capacity_tariff:sunny:without_pv,22,0.043
V1H_V2H,home,capacity_tariff:cloudy:with_pv,22,0.034
V1H_V2H,home,capacity_tariff:cloudy:without_pv,22,0.043
V1H_V2H,home,time_of_use:sunny:with_pv,22,0.034
V1H_V2H,home,time_of_use:sunny:without_pv,22,0.043
V1H_V2H,home,time_of_use:cloudy:with_pv,22,0.034
