scenario,mode,year,share,units_kveh
Constrained Transition,V2M,2024,0.0,0.0
Constrained Transition,V2M,2025,0.0,0.0
Constrained Transition,V2M,2026,0.0,0.0
Constrained Transition,V2M,2027,0.0,0.0
Constrained Transition,V2M,2028,0.0,0.0
Constrained Transition,V2M,2029,0.0,0.0
Constrained Transition,V2M,2030,0.0,0.0
Constrained Transition,V2M,2031,0.0,0.0
Constrained Transition,V2M,2032,0.0,10.0
Constrained Transition,V2M,2033,0.0,10.0
Constrained Transition,V2M,2034,0.0,10.0
Constrained Transition,V2M,2035,0.0,10.0
Constrained Transition,V2M,2036,0.0,10.0
Prosumer Power,V0,2023,0.735,240.0
Prosumer Power,V0,2024,0.69,340.0
Prosumer Power,V0,2025,0.68,520.0
Prosumer Power,V0,2026,0.63,680.0
Prosumer Power,V0,2027,0.58,820.0
Prosumer Power,V0,2028,0.54,970.0
Prosumer Power,V0,2029,0.51,1100.0
Prosumer Power,V0,2030,0.47,1200.0
Prosumer Power,V0,2031,0.42,1190.0
Prosumer Power,V0,2032,0.38,1170.0
Prosumer Power,V0,2033,0.33,1120.0
Prosumer Power,V0,2034,0.3,1110.0
Prosumer Power,V0,2035,0.28,1100.0
Prosumer Power,V0,2036,0.27,1120.0
Prosumer Power,V1H,2023,0.26,90.0
Prosumer Power,V1H,2024,0.3,150.0
Prosumer Power,V1H,2025,0.3,230.0
Prosumer Power,V1H,2026,0.35,380.0
Prosumer Power,V1H,2027,0.4,560.0
Prosumer Power,V1H,2028,0.42,760.0
Prosumer Power,V1H,2029,0.44,960.0
Prosumer Power,V1H,2030,0.46,1170.0
Prosumer Power,V1H,2031,0.47,1340.0
Prosumer Power,V1H,2032,0.49,1520.0
Prosumer Power,V1H,2033,0.5,1700.0
Prosumer Power,V1H,2034,0.52,1880.0
Prosumer Power,V1H,2035,0.53,2040.0
Prosumer Power,V1H,2036,0.54,2200.0
Prosumer Power,V2H,2023,0.0,0.0
Prosumer Power,V2H,2024,0.0,0.0
Prosumer Power,V2H,2025,0.0,0.0
Prosumer Power,V2H,2026,0.0,0.0
Prosumer Power,V2H,2027,0.0,0.0
Prosumer Power,V2H,2028,0.01,10.0
Prosumer Power,V2H,2029,0.0,10.0
Prosumer Power,V2H,2030,0.0,10.0
Prosumer Power,V2H,2031,0.01,20.0
Prosumer Power,V2H,2032,0.01,30.0
Prosumer Power,V2H,2033,0.01,40.0
Prosumer Power,V2H,2034,0.01,50.0
Prosumer Power,V2H,2035,0.02,60.0
Prosumer Power,V2H,2036,0.01,60.0
Prosumer Power,V1M,2023,0.005,0.0
Prosumer Power,V1M,2024,0.01,0.0
Prosumer Power,V1M,2025,0.01,10.0
Prosumer Power,V1M,2026,0.02,20.0
Prosumer Power,V1M,2027,0.02,30.0
Prosumer Power,V1M,2028,0.03,50.0
Prosumer Power,V1M,2029,0.04,90.0
Prosumer Power,V1M,2030,0.07,170.0
Prosumer Power,V1M,2031,0.1,270.0
Prosumer Power,V1M,2032,0.12,380.0
Prosumer Power,V1M,2033,0.15,500.0
Prosumer Power,V1M,2034,0.16,580.0
Prosumer Power,V1M,2035,0.17,640.0
Prosumer Power,V1M,2036,0.17,690.0
Prosumer Power,V2M,2023,0.0,0.0
Prosumer Power,V2M,2024,0.0,0.0
Prosumer Power,V2M,2025,0.0,0.0
Prosumer Power,V2M,2026,0.0,0.0
Prosumer Power,V2M,2027,0.0,0.0
Prosumer Power,V2M,2028,0.0,0.0
Prosumer Power,V2M,2029,0.0,0.0
Prosumer Power,V2M,2030,0.0,0.0
Prosumer Power,V2M,2031,0.0,10.0
Prosumer Power,V2M,2032,0.0,10.0
Prosumer Power,V2M,2033,0.01,20.0
Prosumer Power,V2M,2034,0.01,20.0
Prosumer Power,V2M,2035,0.01,30.0
Prosumer Power,V2M,2036,0.01,30.0
Current commitments - High Flex,V0,2023,0.735,240.0
Current commitments - High Flex,V0,2024,0.69,340.0
Current commitments - High Flex,V0,2025,0.67,470.0
Current commitments - High Flex,V0,2026,0.61,590.0
Current commitments - High Flex,V0,2027,0.55,690.0
Current commitments - High Flex,V0,2028,0.49,760.0
Current commitments - High Flex,V0,2029,0.45,830.0
Current commitments - High Flex,V0,2030,0.4,860.0
Current commitments - High Flex,V0,2031,0.35,840.0
Current commitments - High Flex,V0,2032,0.3,780.0
Current commitments - High Flex,V0,2033,0.25,720.0
Current commitments - High Flex,V0,2034,0.22,680.0
Current commitments - High Flex,V0,2035,0.19,630.0
Current commitments - High Flex,V0,2036,0.17,610.0
Current commitments - High Flex,V1H,2023,0.26,90.0
Current commitments - High Flex,V1H,2024,0.3,150.0
Current commitments - High Flex,V1H,2025,0.3,210.0
Current commitments - High Flex,V1H,2026,0.35,340.0
Current commitments - High Flex,V1H,2027,0.4,500.0
Current commitments - High Flex,V1H,2028,0.43,660.0
Current commitments - High Flex,V1H,2029,0.44,820.0
Current commitments - High Flex,V1H,2030,0.46,980.0
Current commitments - High Flex,V1H,2031,0.47,1130.0
Current commitments - High Flex,V1H,2032,0.49,1270.0
Current commitments - High Flex,V1H,2033,0.51,1440.0
Current commitments - High Flex,V1H,2034,0.52,1590.0
Current commitments - High Flex,V1H,2035,0.53,1760.0
Current commitments - High Flex,V1H,2036,0.54,1920.0
