scenario,turbine,region,density_case,capacity_density_mw_km2,eligible_area_km2,p_nom_max_mw,flh_h,mean_capacity_factor,cf_area_weighted,energy_twh,n_turbines,scenario_title,turbine_label
S0_pypsa_eur,T185_NREL4,admin,pypsa_eur,3.0,3756.53,11270.0,3230.0,0.3687,0.3666,36.396,2817,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 4.0 MW (tip 185 m)
S1_zoning,T185_NREL4,admin,pypsa_eur,3.0,8520.8,25562.0,3257.0,0.3718,0.3705,83.259,6391,+ plan de secteur zoning (CoDT),NREL 2020ATB 4.0 MW (tip 185 m)
S2_setbacks,T185_NREL4,admin,pypsa_eur,3.0,1398.5,4195.0,3244.0,0.3703,0.3686,13.609,1049,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 4.0 MW (tip 185 m)
S3_nature,T185_NREL4,admin,pypsa_eur,3.0,1211.18,3634.0,3251.0,0.3711,0.3695,11.811,908,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 4.0 MW (tip 185 m)
S4_landscape,T185_NREL4,admin,pypsa_eur,3.0,923.28,2770.0,3251.0,0.3712,0.3694,9.006,692,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 4.0 MW (tip 185 m)
S5_risk,T185_NREL4,admin,pypsa_eur,3.0,869.62,2609.0,3253.0,0.3713,0.3695,8.485,652,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 4.0 MW (tip 185 m)
S0_pypsa_eur,T208_NREL55,admin,dense,8.0,3756.53,30052.0,3302.0,0.377,0.375,99.247,5464,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,admin,dense,8.0,8520.8,68166.0,3331.0,0.3802,0.379,227.061,12394,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,admin,dense,8.0,1340.63,10725.0,3317.0,0.3786,0.377,35.572,1950,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,admin,dense,8.0,1157.14,9257.0,3324.0,0.3794,0.3779,30.77,1683,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,admin,dense,8.0,880.52,7044.0,3325.0,0.3796,0.3778,23.421,1281,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,admin,dense,8.0,829.67,6637.0,3326.0,0.3797,0.3779,22.075,1207,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
S0_pypsa_eur,T208_NREL55,admin,derived,5.131,3756.53,19275.0,3302.0,0.377,0.375,63.654,3505,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,admin,derived,5.131,8520.8,43720.0,3331.0,0.3802,0.379,145.631,7949,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,admin,derived,5.131,1340.63,6879.0,3317.0,0.3786,0.377,22.815,1251,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,admin,derived,5.131,1157.14,5937.0,3324.0,0.3794,0.3779,19.735,1080,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,admin,derived,5.131,880.52,4518.0,3325.0,0.3796,0.3778,15.022,821,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,admin,derived,5.131,829.67,4257.0,3326.0,0.3797,0.3779,14.159,774,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
S0_pypsa_eur,T208_NREL55,admin,pypsa_eur,3.0,3756.53,11270.0,3302.0,0.377,0.375,37.217,2049,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,admin,pypsa_eur,3.0,8520.8,25562.0,3331.0,0.3802,0.379,85.148,4648,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,admin,pypsa_eur,3.0,1340.63,4022.0,3317.0,0.3786,0.377,13.339,731,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,admin,pypsa_eur,3.0,1157.14,3471.0,3324.0,0.3794,0.3779,11.539,631,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,admin,pypsa_eur,3.0,880.52,2642.0,3325.0,0.3796,0.3778,8.783,480,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,admin,pypsa_eur,3.0,829.67,2489.0,3326.0,0.3797,0.3779,8.278,453,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
S0_pypsa_eur,T136_V112,model,dense,8.0,3597.1,28777.0,2442.0,0.2788,0.2765,70.273,9592,PyPSA-Eur default (CORINE + Natura 2000),V112 / 3.0 MW (tip 136 m)
S1_zoning,T136_V112,model,dense,8.0,7121.79,56974.0,2467.0,0.2817,0.2801,140.579,18991,+ plan de secteur zoning (CoDT),V112 / 3.0 MW (tip 136 m)
S2_setbacks,T136_V112,model,dense,8.0,1413.4,11307.0,2455.0,0.2802,0.2783,27.754,3769,+ dwellings and infrastructure setbacks (CDR 2024),V112 / 3.0 MW (tip 136 m)
S3_nature,T136_V112,model,dense,8.0,1218.97,9752.0,2461.0,0.2809,0.2791,23.996,3251,"+ Natura 2000, reserves, wetlands, caves",V112 / 3.0 MW (tip 136 m)
S4_landscape,T136_V112,model,dense,8.0,925.61,7405.0,2461.0,0.2809,0.279,18.222,2468,+ landscape protection perimeters (PIP / ADESA),V112 / 3.0 MW (tip 136 m)
S5_risk,T136_V112,model,dense,8.0,882.37,7059.0,2462.0,0.281,0.2791,17.378,2353,"+ flood, karst, landslide, water-capture protection",V112 / 3.0 MW (tip 136 m)
S0_pypsa_eur,T136_V112,model,derived,6.833,3597.1,24579.0,2442.0,0.2788,0.2765,60.022,8193,PyPSA-Eur default (CORINE + Natura 2000),V112 / 3.0 MW (tip 136 m)
S1_zoning,T136_V112,model,derived,6.833,7121.79,48663.0,2467.0,0.2817,0.2801,120.072,16221,+ plan de secteur zoning (CoDT),V112 / 3.0 MW (tip 136 m)
S2_setbacks,T136_V112,model,derived,6.833,1413.4,9658.0,2455.0,0.2802,0.2783,23.705,3219,+ dwellings and infrastructure setbacks (CDR 2024),V112 / 3.0 MW (tip 136 m)
S3_nature,T136_V112,model,derived,6.833,1218.97,8329.0,2461.0,0.2809,0.2791,20.495,2776,"+ Natura 2000, reserves, wetlands, caves",V112 / 3.0 MW (tip 136 m)
S4_landscape,T136_V112,model,derived,6.833,925.61,6325.0,2461.0,0.2809,0.279,15.564,2108,+ landscape protection perimeters (PIP / ADESA),V112 / 3.0 MW (tip 136 m)
S5_risk,T136_V112,model,derived,6.833,882.37,6029.0,2462.0,0.281,0.2791,14.843,2010,"+ flood, karst, landslide, water-capture protection",V112 / 3.0 MW (tip 136 m)
